size,rm,qm,rl2,ql2,rvar,qvar,rl3,ql3,rtm,qtm,rl4,ql4,rfm,qfm
9,0,1.00E+06,3.752207405,-0.173221972,4.410651653,-0.709233669,0,1.00E+06,0,1.00E+06,-9.35102117,-0.300017019,33.83393676,NA
10,0,1.00E+06,4.253092554,-0.295786885,4.432779346,-0.447826782,0,1.00E+06,0,1.00E+06,-19.67942998,NA,29.51331973,NA
11,0,1.00E+06,3.738289904,-0.151228072,3.976456397,-0.665414857,0,1.00E+06,0,1.00E+06,-16.69348278,-0.492084848,25.26093285,NA
12,0,1.00E+06,3.281457151,-0.389815479,3.529838712,-0.521451513,0,1.00E+06,0,1.00E+06,-14.9145312,-0.541052972,21.62113807,NA
13,0,1.00E+06,3.225339961,-0.234543594,3.404982178,-0.509519025,0,1.00E+06,0,1.00E+06,-16.17807651,-0.585844456,18.64854006,-0.992670593
14,0,1.00E+06,2.958111018,-0.299861322,3.127759018,-0.372436034,0,1.00E+06,0,1.00E+06,-13.95270064,NA,16.45900584,-0.977888827
15,0,1.00E+06,2.635025886,-0.313851943,2.823811068,-0.363506314,0,1.00E+06,0,1.00E+06,-13.44556918,NA,15.28807302,-0.961622975
16,0,1.00E+06,2.41817858,-0.344221419,2.637167547,-0.336794137,0,1.00E+06,0,1.00E+06,-10.61880179,NA,14.09246081,-0.92971945
17,0,1.00E+06,2.33857834,-0.116999885,2.567654683,-0.3349898,0,1.00E+06,0,1.00E+06,-11.69046506,-0.563825605,13.51699312,-0.907439735
18,0,1.00E+06,2.178370207,-0.209626071,2.423561017,-0.223667452,0,1.00E+06,0,1.00E+06,-11.58117735,NA,12.40769712,-0.901797693
19,0,1.00E+06,2.034874182,-0.222366881,2.29212592,-0.275346651,0,1.00E+06,0,1.00E+06,-12.21231414,NA,11.54408745,-0.892134159
20,0,1.00E+06,2.047116979,-0.037472466,2.278098009,-0.322474928,0,1.00E+06,0,1.00E+06,-9.764127653,NA,10.7260585,-0.876309721
21,0,1.00E+06,1.857177542,-0.085573383,2.117143612,-0.071994674,0,1.00E+06,0,1.00E+06,-13.92238453,NA,10.21060937,-0.866200985
22,0,1.00E+06,1.779722828,-0.18244545,2.034104635,-0.189857772,0,1.00E+06,0,1.00E+06,-11.26143542,NA,9.712429766,-0.853509737
23,0,1.00E+06,1.743119333,-0.147145896,1.988167454,-0.167406356,0,1.00E+06,0,1.00E+06,-13.13209045,NA,9.083055336,-0.821629074
24,0,1.00E+06,1.650497114,-0.115530592,1.906072909,-0.088863041,0,1.00E+06,0,1.00E+06,-10.63493563,-0.644780106,8.80431507,-0.805343536
25,0,1.00E+06,1.526230901,-0.050591021,1.801970295,-0.045042055,0,1.00E+06,0,1.00E+06,-12.89166937,NA,8.395977718,-0.79337127
26,0,1.00E+06,1.609834978,-0.102030061,1.853920407,-0.002068215,0,1.00E+06,0,1.00E+06,-11.04406646,NA,7.949081758,-0.778851607
27,0,1.00E+06,1.46980044,-0.01201561,1.744423692,-0.071651211,0,1.00E+06,0,1.00E+06,-13.77721087,NA,7.645402497,-0.764523175
28,0,1.00E+06,1.387447373,-0.032359828,1.66708757,0.00700843,0,1.00E+06,0,1.00E+06,-11.59827963,-0.64391608,7.410729915,-0.747706198
29,0,1.00E+06,1.375323658,0.026666593,1.642913505,0.021865176,0,1.00E+06,0,1.00E+06,-13.5145614,NA,7.126443332,-0.726291476
30,0,1.00E+06,1.351738749,0.031967269,1.614658261,-0.014875463,0,1.00E+06,0,1.00E+06,-12.05735208,NA,6.983091158,-0.716180206
31,0,1.00E+06,1.372222523,0.107568797,1.631953312,-0.045688371,0,1.00E+06,0,1.00E+06,-10.63792558,-0.615596961,6.835551412,-0.705628214
32,0,1.00E+06,1.30313222,0.031189393,1.570514907,0.062640747,0,1.00E+06,0,1.00E+06,-12.52145233,NA,6.544956536,-0.69102513
33,0,1.00E+06,1.282891198,0.053734267,1.548467204,0.042953338,0,1.00E+06,0,1.00E+06,-10.37782036,-0.63672168,6.331486086,-0.663058452
34,0,1.00E+06,1.265141933,0.03323065,1.522801596,0.009499437,0,1.00E+06,0,1.00E+06,-18.23530976,-0.546885771,6.102711714,-0.647019535
35,0,1.00E+06,1.199319961,0.099867805,1.473710396,0.030770678,0,1.00E+06,0,1.00E+06,-13.88116541,-0.554286999,6.081120308,-0.644128063
36,0,1.00E+06,1.188818476,0.042246568,1.458291399,0.188463045,0,1.00E+06,0,1.00E+06,-9.929924416,-0.660747156,5.834267302,-0.622636604
37,0,1.00E+06,1.15796662,0.205980845,1.425676069,0.247431796,0,1.00E+06,0,1.00E+06,-24.25109319,-0.471842979,5.688849528,-0.611127627
38,0,1.00E+06,1.146751784,0.110402117,1.414019375,0.204627573,0,1.00E+06,0,1.00E+06,-12.09773694,-0.533566162,5.666946311,-0.607478277
39,0,1.00E+06,1.127024186,0.077077406,1.397790621,0.234915224,0,1.00E+06,0,1.00E+06,-17.09033282,-0.571681828,5.436123945,-0.577988042
40,0,1.00E+06,1.086216292,0.123732582,1.360539402,0.240999769,0,1.00E+06,0,1.00E+06,-12.70058373,-0.586492525,5.32137839,-0.566607291
41,0,1.00E+06,1.124511733,0.137395373,1.386783353,0.157689208,0,1.00E+06,0,1.00E+06,-22.97444527,-0.503226221,5.272456109,-0.555492341
42,0,1.00E+06,1.053587049,0.102821126,1.31697956,0.145749778,0,1.00E+06,0,1.00E+06,-19.49046553,-0.492311408,5.180815521,-0.546242747
43,0,1.00E+06,1.055510969,0.128775107,1.327370856,0.26141723,0,1.00E+06,0,1.00E+06,-13.83369717,-0.528979003,5.059378672,-0.523619338
44,0,1.00E+06,1.015364585,0.184256874,1.282515708,0.23375006,0,1.00E+06,0,1.00E+06,-16.77065213,-0.474014591,4.95757083,-0.514725929
45,0,1.00E+06,0.999127446,0.164034012,1.266743206,0.214307284,0,1.00E+06,0,1.00E+06,-15.04791579,-0.565024978,4.896941239,-0.508161394
46,0,1.00E+06,0.993113393,0.106907486,1.263783604,0.235111925,0,1.00E+06,0,1.00E+06,-17.66806919,-0.423133057,4.768895403,-0.493520768
47,0,1.00E+06,0.970630895,0.247229074,1.238697099,0.235492451,0,1.00E+06,0,1.00E+06,-19.04477084,-0.437920843,4.78874886,-0.490817433
48,0,1.00E+06,0.97638039,0.182234828,1.241531148,0.254181059,0,1.00E+06,0,1.00E+06,-17.46411719,-0.513022729,4.693221761,-0.468802057
49,0,1.00E+06,0.989223003,0.143910839,1.252776847,0.221381463,0,1.00E+06,0,1.00E+06,-28.61437858,-0.438788156,4.563066608,-0.452301212
50,0,1.00E+06,0.987571634,0.183334747,1.245515716,0.271540179,0,1.00E+06,0,1.00E+06,-22.75451653,-0.461286677,4.522219716,-0.449581925
51,0,1.00E+06,0.934894529,0.234312621,1.198336118,0.299222527,0,1.00E+06,0,1.00E+06,-38.40315412,-0.446062547,4.425288715,-0.435652425
52,0,1.00E+06,0.950966336,0.190906148,1.216684418,0.26250088,0,1.00E+06,0,1.00E+06,-18.15032458,-0.475593043,4.402765222,-0.433248259
53,0,1.00E+06,0.906403009,0.261524383,1.176547507,0.285583727,0,1.00E+06,0,1.00E+06,-18.18670931,-0.426099419,4.292077035,-0.422004235
54,0,1.00E+06,0.897449594,0.256207506,1.1719779,0.258070988,0,1.00E+06,0,1.00E+06,-61.36287202,-0.442047469,4.26262811,-0.405749852
55,0,1.00E+06,0.896063522,0.21419907,1.170102315,0.317707809,0,1.00E+06,0,1.00E+06,-616.628872,-0.348867841,4.207487391,-0.400288539
56,0,1.00E+06,0.9049615,0.179025991,1.174549915,0.261711571,0,1.00E+06,0,1.00E+06,118.8255138,-0.380920795,4.218360005,-0.401570967
57,0,1.00E+06,0.885960128,0.20913245,1.151043634,0.335139782,0,1.00E+06,0,1.00E+06,-18.13507708,-0.457923721,4.240040804,-0.402246378
58,0,1.00E+06,0.876789168,0.221876041,1.140848161,0.332693541,0,1.00E+06,0,1.00E+06,-35.99582907,-0.373797716,4.065771336,-0.371772897
59,0,1.00E+06,0.858588864,0.258203744,1.127238177,0.321638023,0,1.00E+06,0,1.00E+06,-56.27304536,-0.394243497,4.106792795,-0.371190356
60,0,1.00E+06,0.804514792,0.277965404,1.078772811,0.358895635,0,1.00E+06,0,1.00E+06,-16.60300413,-0.432329948,3.970600133,-0.346484281
61,0,1.00E+06,0.842904279,0.258339465,1.112461289,0.326809325,0,1.00E+06,0,1.00E+06,-18.52064546,-0.379502764,3.934048567,-0.345416065
62,0,1.00E+06,0.84447721,0.274406234,1.110093225,0.344235879,0,1.00E+06,0,1.00E+06,-45.90843645,-0.380691276,3.907414416,-0.333933435
63,0,1.00E+06,0.8306799,0.274664403,1.097606948,0.308932801,0,1.00E+06,0,1.00E+06,-87.03702075,-0.339592207,3.896164603,-0.340734224
64,0,1.00E+06,0.796151356,0.313695231,1.079256608,0.35636875,0,1.00E+06,0,1.00E+06,-40.2368035,-0.383012358,3.839283186,-0.328716281
65,0,1.00E+06,0.803462628,0.304013269,1.074636708,0.374592767,0,1.00E+06,0,1.00E+06,-47.49302716,-0.364660878,3.79910489,-0.324146787
66,0,1.00E+06,0.801799536,0.264386949,1.061947412,0.367752622,0,1.00E+06,0,1.00E+06,-23.84247482,-0.42019073,3.740961515,-0.305396599
67,0,1.00E+06,0.790720273,0.287692394,1.06170725,0.428350968,0,1.00E+06,0,1.00E+06,-531.807791,-0.372345145,3.769885159,-0.315823217
68,0,1.00E+06,0.769659334,0.288933204,1.043507955,0.386835503,0,1.00E+06,0,1.00E+06,-26.66786482,-0.408413999,3.76890229,-0.30540293
69,0,1.00E+06,0.80074992,0.269139004,1.065203877,0.379666524,0,1.00E+06,0,1.00E+06,34.12337892,-0.30474387,3.640934223,-0.285061102
70,0,1.00E+06,0.811354083,0.271223638,1.073504422,0.386202673,0,1.00E+06,0,1.00E+06,-552.9008405,-0.38022958,3.651696398,-0.282959192
