size,rm,qm,rl2,ql2,rvar,qvar,rl3,ql3,rtm,qtm,rl4,ql4,rfm,qfm
9,0.082190266,NA,2.046995848,-0.227255249,1.954495743,-0.054294991,4.566973585,-0.457164794,3.784779282,-0.099649604,-1.083208822,NA,6.861265464,-0.796158757
10,0.083824427,NA,1.400119486,0.042837219,1.557327122,0.110464622,2.941365093,-0.297888862,5.029141906,-0.334054901,-1.034174353,NA,6.537742002,-0.75670269
11,0.080727376,NA,1.345577168,-0.01575411,1.472730024,0.189521684,3.480659169,-0.126339782,4.126327003,-0.271557646,-0.934020226,NA,5.993642638,-0.707258449
12,0.062140184,NA,1.371755357,-0.359307685,1.451624505,0.052609292,1.768121971,-0.120671162,3.278969516,-0.240867009,-0.754373677,NA,5.062307556,-0.706842844
13,0.036746425,NA,1.373946046,-0.037087116,1.404784632,-0.005767595,3.016374806,-0.25118885,3.32284321,-0.112396456,-0.650036123,NA,4.63706342,-0.599468855
14,0.048500985,NA,1.275310071,-0.186906903,1.304566772,0.256686739,1.917180015,-0.135125736,3.229509444,-0.040244046,-0.654761686,NA,4.312197296,-0.548563792
15,0.08999223,NA,1.168698473,0.408748366,1.254192316,0.272275341,1.84222018,-0.231880929,2.986118821,0.079231964,-0.704516433,NA,4.000408688,-0.496977749
16,0.126047825,NA,1.112617906,-0.001582998,1.170525944,0.333951674,1.850352895,-0.107242435,2.756659069,-0.061136299,-0.521091375,NA,3.736888934,-0.449439247
17,0.147720684,NA,1.100420279,0.191602034,1.171420706,0.20623772,1.468621979,0.040709953,2.600612198,0.044316844,-0.539358198,NA,3.525124121,-0.432815349
18,0.164777678,NA,0.993562683,0.205229197,1.040634276,0.297928302,2.017101364,0.032854235,2.540608258,0.009304932,-0.519735152,NA,3.398449203,-0.393403465
19,0.16627642,NA,1.049861419,-0.069288488,1.066056131,0.414341324,1.84634569,-0.03910038,2.476742264,0.037937022,-0.547670453,NA,3.215928312,-0.357813027
20,0.166110365,NA,1.008278812,0.318662861,1.008847769,0.326693443,1.60399752,0.0486652,2.428991359,0.109626871,-0.447734479,NA,3.015996708,-0.334796621
21,0.159839087,NA,1.014473128,0.365408798,1.029201027,0.32396768,1.969787466,-0.062254125,2.449337574,0.085966441,-0.503198283,NA,2.935738976,-0.31919824
22,0.150510189,NA,0.915134691,0.313452561,0.947059955,0.344585912,1.294993038,0.141232298,2.153874293,0.139726724,-0.374846707,NA,2.819425533,-0.281007607
23,0.156115095,NA,0.918950773,0.255997567,0.960954938,0.38597262,1.174026567,0.183208514,2.100048342,0.145802077,-0.230419333,NA,2.709937908,-0.240606645
24,0.174827248,NA,0.87768896,0.116876166,0.916788637,0.329222043,1.376972118,0.179591791,2.040174062,0.194782706,-0.357963777,NA,2.600895181,-0.211642965
25,0.190929619,NA,0.859457583,0.196625844,0.883341282,0.41772721,1.372100227,0.115047822,1.886379959,0.246611554,-0.163924543,NA,2.539684094,-0.211161912
26,0.201178627,NA,0.780633748,0.214020135,0.838402085,0.479013862,1.570035034,-0.04458598,2.333962254,0.124136365,-0.353654799,NA,2.455036909,-0.183580982
27,0.20970992,NA,0.871698482,0.305098985,0.900136605,0.418842232,1.512583745,-0.013684144,2.008113225,0.193942059,-0.50808033,NA,2.424441217,-0.161275322
28,0.210902805,NA,0.725515697,0.274862098,0.801559627,0.342604303,0.868386382,0.110745452,1.77862544,0.287172548,-0.365899928,NA,2.336139379,-0.16665317
29,0.211248865,-0.216268049,0.768285386,0.102878909,0.81284963,0.455832949,1.112704365,0.082590634,1.95996025,0.208460143,-0.306759003,NA,2.253443347,-0.110272174
30,0.208350427,NA,0.819814734,0.230296757,0.850808903,0.508820031,1.559204879,-0.020647592,2.188480963,0.16887123,-0.371561228,NA,2.289042501,-0.142148289
31,0.203797983,NA,0.727433165,0.157901181,0.785685931,0.580472844,1.138301162,0.076171047,1.882106371,0.258184631,-0.188217671,NA,2.154566649,-0.088153266
32,0.20724665,NA,0.778196239,0.300118873,0.806522934,0.54586732,0.822349454,0.289535798,1.680152417,0.347344604,-0.38277558,NA,2.164545634,-0.086082844
33,0.217989446,NA,0.782764215,0.321929719,0.799217503,0.574856334,1.541086212,0.076727392,1.856886516,0.266613294,-0.263546556,NA,2.123495663,-0.083015067
34,0.227259947,NA,0.807897179,0.236702089,0.807294025,0.522049479,1.401455806,0.084891437,1.724137837,0.327376048,-0.37154324,NA,2.113504822,-0.08817276
35,0.233380191,NA,0.680115671,0.338208868,0.739345585,0.605121385,0.813094707,0.30705263,1.565848514,0.343996984,-0.362195684,NA,2.006133584,-0.038129363
36,0.238618614,NA,0.632194446,0.272620011,0.706925379,0.556112926,0.881978589,0.234512354,1.670270082,0.309882067,-0.313055074,NA,2.063421379,-0.050582109
37,0.239570072,NA,0.684725194,0.348844056,0.743511806,0.533147319,0.661183694,0.354350604,1.504179518,0.456115222,-0.172526193,NA,1.917865641,0.007498969
38,0.240009703,NA,0.672481459,0.365219393,0.727094865,0.549959452,0.843326797,0.229588085,1.681757137,0.322318724,-0.237042957,NA,1.939768542,-0.006078159
39,0.238438997,NA,0.64657265,0.38263384,0.706238618,0.627167643,0.922794775,0.215115539,1.608860536,0.35617978,-0.287330737,NA,1.995756657,-0.03133002
40,0.235842487,-0.017122122,0.607195349,0.387166273,0.676567816,0.597840976,0.596512752,0.30069991,1.500489665,0.411997505,-0.199528751,NA,1.92787233,-0.000544316
41,0.238228785,NA,0.649728629,0.308619949,0.692388448,0.617631817,0.830144433,0.224190209,1.545107192,0.400949504,-0.130837277,NA,1.843143636,0.023744742
42,0.245252521,-0.016025556,0.6433016,0.310147558,0.686122711,0.648264418,1.366019343,0.097287336,1.678468736,0.34274084,-0.23425419,NA,1.859105477,0.028890908
43,0.251339698,NA,0.522384528,0.39280439,0.628909378,0.650092315,1.11980925,0.142673526,1.603898929,0.389424124,-0.284092296,NA,1.856868609,0.048180443
44,0.255461549,-0.015049944,0.673351076,0.336468455,0.696804033,0.611422407,0.70053468,0.363040302,1.352556475,0.478331164,-0.239136285,NA,1.779256612,0.085132659
