size,rm,qm,rl2,ql2,rvar,qvar,rl3,ql3,rtm,qtm,rl4,ql4,rfm,qfm
9,1.029000592,-0.369070246,1.743964711,-0.096273221,2.773620009,-0.367916441,1.859289308,0.084178972,7.041568661,-0.661277588,-5.643603482,NA,27.3192155,NA
10,0.957753351,NA,1.591650895,-0.160509482,2.550120717,-0.30354521,1.648019886,-0.07744422,6.387385256,-0.611891189,-4.643807206,NA,21.75691455,NA
11,0.88319654,NA,1.42362877,0.235392079,2.316685224,-0.232144498,1.57207523,-0.124122347,5.939733525,-0.593003166,-5.941260461,NA,18.36814036,NA
12,0.779892283,-0.101755598,1.310280374,0.11317647,2.147767075,-0.283310342,1.553408351,-0.022062237,5.567345121,-0.580642146,-6.584321203,NA,16.1295,NA
13,0.671815463,NA,1.250514554,0.089396957,2.046776214,-0.211457316,1.532307067,-0.039815877,5.282367715,-0.55181727,-5.832768671,NA,14.5006159,-0.994758515
14,0.644270407,-0.079217779,1.18870856,0.188339077,1.962072645,-0.145326966,1.515635358,0.004356922,5.025522861,-0.470815934,-6.150792009,NA,13.17168109,-0.973048313
15,0.673044146,0.113282753,1.118763612,0.14293386,1.871219452,-0.161713929,1.362977271,0.063838509,4.673065319,-0.402849185,-6.475053392,NA,12.22738637,-0.943907041
16,0.692401345,NA,1.098679524,0.158958162,1.830806057,-0.154485361,1.249869798,0.022377453,4.451413779,-0.365633602,-6.1392325,NA,11.53641131,-0.909880425
17,0.686096854,0.121819996,1.047320203,0.130262912,1.769223906,-0.102663154,1.225845808,0.097399126,4.23923385,-0.312687688,-5.865584883,NA,10.72532855,-0.871376675
18,0.67532416,0.29375666,1.012235833,0.139881258,1.708372082,-0.094289181,1.152448148,0.102943005,4.068732559,-0.29191881,-5.977103504,NA,10.19509857,-0.828399213
19,0.655039946,0.126563806,0.927864466,0.22330514,1.603992018,-0.10016403,1.10070084,0.142914197,3.95497021,-0.203476399,-6.578179378,NA,9.626122229,-0.788171831
20,0.633315308,0.292029674,0.925438393,0.23043118,1.595862076,-0.068342584,1.046761244,0.195781262,3.836883349,-0.151571338,-6.511330412,NA,9.125014577,-0.74871696
21,0.602375587,NA,0.909445022,0.228488522,1.555425977,-0.058285792,1.029966609,0.190515995,3.72965812,-0.137261816,-7.852325001,NA,8.903631178,-0.724623317
22,0.568016553,0.288885195,0.852668649,0.235897873,1.482653489,0.338872384,1.043403971,0.17617132,3.720963651,-0.156806149,-5.712165038,NA,8.484515708,-0.690374248
23,0.557828674,0.439805709,0.844808125,0.237766511,1.470524075,0.346227154,0.908461841,0.266648895,3.508395871,-0.123219085,-5.173808279,NA,8.260399017,-0.671741972
24,0.567676689,0.285097209,0.836355917,0.238951431,1.456360152,0.338551689,0.965143998,0.229415377,3.507664622,-0.115883528,-6.888049653,NA,8.096343518,-0.65330097
25,0.573882528,0.430676558,0.814731025,0.331599796,1.423450229,0.328108157,0.945000175,0.267215323,3.449507191,-0.121761326,-5.147354564,NA,7.78797098,-0.634053279
26,0.571419394,0.570297268,0.781999968,0.322448052,1.382365804,0.333396571,0.878469231,0.283099247,3.369908882,-0.090941631,-6.005022317,NA,7.598603333,-0.613928514
27,0.567281841,0.421902728,0.744892263,0.336025099,1.34187713,0.340946283,0.826962126,0.30944025,3.210124384,-0.051102224,-6.248861171,NA,7.419898821,-0.598557258
28,0.557747483,0.556625007,0.754092677,0.338020891,1.34627441,0.32231689,0.869697205,0.287662963,3.247806984,-0.06457912,-5.588682138,NA,7.242967487,-0.578600214
29,0.547438949,0.413599259,0.743798829,0.35853321,1.329264132,0.329913692,0.798572275,0.343805832,3.150840478,-0.052763642,-5.534566098,NA,7.187271244,-0.563624258
30,0.532703274,0.543959311,0.691128156,0.400301504,1.267685301,0.334625146,0.769082348,0.352052454,3.080117576,-0.026960918,-5.884397051,NA,6.901660375,-0.537504018
31,0.516091831,0.669877672,0.705303956,0.424416911,1.277239014,0.332339016,0.748256082,0.36878871,3.031084018,0.002746899,-4.690545317,NA,6.798052614,-0.525527868
32,0.510871312,0.532249383,0.678754044,0.436970703,1.247532678,0.313497578,0.776971412,0.34079688,3.054034614,-0.008804251,-5.235001376,NA,6.781115548,-0.502240067
33,0.515698249,0.654168475,0.714519282,0.351227744,1.283104571,0.318229122,0.72934037,0.395112404,2.97121868,0.013459797,-5.322133667,NA,6.606583878,-0.485784858
34,0.518652189,0.772697288,0.681464626,0.44265987,1.239007721,0.378464839,0.686235088,0.433947144,2.891002574,0.045547691,-5.945269558,NA,6.49506076,-0.476856924
35,0.517351201,0.639738513,0.677315083,0.41879683,1.234194632,0.359952353,0.675833191,0.438865987,2.880400051,0.041446591,-7.069372977,-0.569865143,6.302842339,-0.457219616
36,0.515190924,0.75460208,0.644885356,0.434849262,1.196175336,0.390264473,0.616365898,0.455398459,2.793239906,0.075171472,-7.066211792,NA,6.335082569,-0.451780735
37,0.509657444,0.210146322,0.642905897,0.451175161,1.194603454,0.394865438,0.655902305,0.456315914,2.861535111,0.047474746,-7.657828904,-0.508863482,6.258616329,-0.442149108
38,0.503645103,0.737996698,0.623914429,0.435031232,1.166159356,0.401598096,0.639067838,0.440189403,2.736582898,0.087678193,-6.248255775,NA,6.171268186,-0.426821056
39,0.495049249,0.846812891,0.650833083,0.436220599,1.195447323,0.3698059,0.690239054,0.401774163,2.819535401,0.065140034,-5.893272646,-0.434814709,5.931951495,-0.411932429
40,0.485302724,0.722706232,0.635327136,0.441727119,1.170865956,0.423785031,0.651495203,0.447278813,2.753483171,0.071866194,-6.357656014,NA,5.935429337,-0.395421522
41,0.482143821,0.82846527,0.637722858,0.448944554,1.173847245,0.407472539,0.636176177,0.44939135,2.720189528,0.09290037,-6.002607142,NA,5.917097978,-0.398722739
42,0.484982557,0.290574073,0.616276885,0.459390398,1.158654414,0.385833768,0.624855353,0.470626543,2.718470614,0.095308104,-5.959327646,-0.571867791,5.89306403,-0.396522305
43,0.486690478,0.811545817,0.628067474,0.459788863,1.160577052,0.394508378,0.644970878,0.449925204,2.708396926,0.099543778,-5.648438047,NA,5.82287927,-0.385592308
