size,rm,qm,rl2,ql2,rvar,qvar,rl3,ql3,rtm,qtm,rl4,ql4,rfm,qfm
9,0,1.00E+06,2.350288159,-0.578323674,2.694349282,0.010550693,0,1.00E+06,0,1.00E+06,-3.876644647,NA,18.47690603,NA
10,0,1.00E+06,2.949496075,-0.472975951,3.072076239,-0.555376294,0,1.00E+06,0,1.00E+06,-3.217557128,NA,14.49345564,-0.980359779
11,0,1.00E+06,2.194781983,-0.414140445,2.434294064,-0.146548789,0,1.00E+06,0,1.00E+06,-3.160055662,NA,12.83681477,-0.954401923
12,0,1.00E+06,2.296087376,0.524817107,2.383262699,-0.418176986,0,1.00E+06,0,1.00E+06,-3.004560387,NA,11.50992766,-0.899815207
13,0,1.00E+06,2.292033265,-0.221358651,2.291223739,-0.150468038,0,1.00E+06,0,1.00E+06,-2.653826819,NA,10.11127399,-0.872507583
14,0,1.00E+06,2.029758452,-0.113056825,2.085561171,-0.257418105,0,1.00E+06,0,1.00E+06,-2.718581688,NA,9.292104363,-0.843749222
15,0,1.00E+06,1.930792748,-0.060228862,1.996732203,-0.113196465,0,1.00E+06,0,1.00E+06,-2.444236645,NA,8.708566709,-0.831359773
16,0,1.00E+06,1.95438995,-0.181757271,1.961319048,-0.196666919,0,1.00E+06,0,1.00E+06,-2.366129894,NA,8.101273317,-0.81781545
17,0,1.00E+06,1.927205575,-0.074744513,1.874839006,-0.277872553,0,1.00E+06,0,1.00E+06,-2.306062266,NA,7.625636628,-0.790456003
18,0,1.00E+06,1.906945732,-0.246468181,1.820436524,-0.076547404,0,1.00E+06,0,1.00E+06,-2.17657692,NA,7.154722886,-0.754183188
19,0,1.00E+06,1.817877966,-0.13092272,1.763732447,-0.068755876,0,1.00E+06,0,1.00E+06,-2.289349458,NA,6.812286453,-0.730744736
20,0,1.00E+06,1.730090072,-0.134038266,1.688372131,0.067219422,0,1.00E+06,0,1.00E+06,-2.186939319,NA,6.473252019,-0.709117905
21,0,1.00E+06,1.598074822,-0.058727829,1.617641297,0.068891413,0,1.00E+06,0,1.00E+06,-2.050676611,NA,6.186777888,-0.701707315
22,0,1.00E+06,1.550365435,-0.137433601,1.57413353,0.05189686,0,1.00E+06,0,1.00E+06,-2.070913469,NA,5.974196729,-0.683922462
23,0,1.00E+06,1.450751697,-0.196686708,1.494648677,-0.023598039,0,1.00E+06,0,1.00E+06,-1.87512077,NA,5.656141172,-0.657306956
24,0,1.00E+06,1.470866258,-0.004710829,1.479343088,0.137720465,0,1.00E+06,0,1.00E+06,-1.981030992,NA,5.471457803,-0.640761943
25,0,1.00E+06,1.411456448,0.000946875,1.431493319,0.057843227,0,1.00E+06,0,1.00E+06,-1.944276377,NA,5.25655873,-0.623589442
26,0,1.00E+06,1.450202613,0.064422163,1.436731877,0.060382062,0,1.00E+06,0,1.00E+06,-1.84577235,NA,5.151777234,-0.618375054
27,0,1.00E+06,1.337466397,-0.065556147,1.353007876,0.091558708,0,1.00E+06,0,1.00E+06,-1.911477055,NA,4.988793903,-0.588907253
28,0,1.00E+06,1.307614833,-0.000400963,1.339245241,0.052651786,0,1.00E+06,0,1.00E+06,-1.749900739,NA,4.796830898,-0.56714957
29,0,1.00E+06,1.330354945,0.227795786,1.340301957,0.102532043,0,1.00E+06,0,1.00E+06,-1.689549052,NA,4.651687756,-0.554156456
30,0,1.00E+06,1.312873825,0.001023586,1.318416563,0.080452462,0,1.00E+06,0,1.00E+06,-1.72770756,NA,4.548293395,-0.545754909
31,0,1.00E+06,1.273588244,0.055945773,1.285190788,0.113947603,0,1.00E+06,0,1.00E+06,-1.649003307,NA,4.393281136,-0.525903764
32,0,1.00E+06,1.194521058,0.049316119,1.231951694,0.228091747,0,1.00E+06,0,1.00E+06,-1.807640686,NA,4.306204461,-0.510451469
33,0,1.00E+06,1.224314881,0.131523905,1.25054837,0.168374926,0,1.00E+06,0,1.00E+06,-1.670177176,NA,4.26158676,-0.497863556
34,0,1.00E+06,1.151506142,0.004267218,1.192837602,0.284527709,0,1.00E+06,0,1.00E+06,-1.49799064,NA,4.053217868,-0.467966697
35,0,1.00E+06,1.155613278,0.012572554,1.191565546,0.15757768,0,1.00E+06,0,1.00E+06,-1.581108458,NA,4.050529487,-0.478862906
36,0,1.00E+06,1.144917051,0.069952007,1.171611649,0.360596104,0,1.00E+06,0,1.00E+06,-1.56286297,NA,3.939350238,-0.455968219
37,0,1.00E+06,1.114182187,0.080885074,1.145084523,0.219154138,0,1.00E+06,0,1.00E+06,-1.378682454,NA,3.888409822,-0.451480823
38,0,1.00E+06,1.102417201,0.063739973,1.137878256,0.258157517,0,1.00E+06,0,1.00E+06,-1.481979978,NA,3.812843047,-0.433601212
39,0,1.00E+06,1.069435765,0.07976877,1.11739662,0.179438158,0,1.00E+06,0,1.00E+06,-1.393043788,NA,3.712371349,-0.418233364
40,0,1.00E+06,1.056375009,0.097604689,1.104760849,0.248014428,0,1.00E+06,0,1.00E+06,-1.41738724,NA,3.63359639,-0.405590775
41,0,1.00E+06,1.034958168,0.036643843,1.079219395,0.285310478,0,1.00E+06,0,1.00E+06,-1.376366154,NA,3.609079731,-0.392316773
42,0,1.00E+06,1.027398626,0.129161798,1.072000564,0.268695412,0,1.00E+06,0,1.00E+06,-1.398595679,NA,3.521434068,-0.380782623
43,0,1.00E+06,1.049203531,0.090114449,1.082828422,0.243420239,0,1.00E+06,0,1.00E+06,-1.380184281,NA,3.48451385,-0.374911826
44,0,1.00E+06,1.010316087,0.226898278,1.054579923,0.308424687,0,1.00E+06,0,1.00E+06,-1.392190312,NA,3.423918235,-0.371307416
45,0,1.00E+06,1.081305823,0.139911616,1.095304879,0.275042138,0,1.00E+06,0,1.00E+06,-1.329214607,NA,3.285766983,-0.331849595
46,0,1.00E+06,0.983603864,0.244789672,1.039111323,0.261365657,0,1.00E+06,0,1.00E+06,-1.314636312,NA,3.340359744,-0.339420891
47,0,1.00E+06,1.005327727,0.170367749,1.041922914,0.274259911,0,1.00E+06,0,1.00E+06,-1.37030655,NA,3.282048016,-0.332710991
48,0,1.00E+06,0.985095559,0.13475832,1.034790336,0.269177126,0,1.00E+06,0,1.00E+06,-1.350994704,NA,3.263631593,-0.330646981
49,0,1.00E+06,0.979953042,0.158212263,1.021648949,0.331097147,0,1.00E+06,0,1.00E+06,-1.255719195,NA,3.217259248,-0.327016324
50,0,1.00E+06,0.935087349,0.115143714,0.987634786,0.353091798,0,1.00E+06,0,1.00E+06,-1.230825895,NA,3.141486606,-0.300310411
51,0,1.00E+06,0.900816353,0.194410183,0.968509889,0.35164758,0,1.00E+06,0,1.00E+06,-1.235043777,NA,3.116376498,-0.298533933
52,0,1.00E+06,0.903015612,0.19326847,0.968299518,0.311318157,0,1.00E+06,0,1.00E+06,-1.277774267,NA,3.066801751,-0.289166536
53,0,1.00E+06,0.903607439,0.257238522,0.962363641,0.406029616,0,1.00E+06,0,1.00E+06,-1.272617826,NA,3.064490417,-0.286801988
54,0,1.00E+06,0.918998589,0.197525945,0.964716411,0.398357752,0,1.00E+06,0,1.00E+06,-1.113694247,NA,2.998333804,-0.26964174
55,0,1.00E+06,0.873301624,0.214913064,0.936154718,0.399325667,0,1.00E+06,0,1.00E+06,-1.24301815,NA,2.952759757,-0.251996443
56,0,1.00E+06,0.881113832,0.140748123,0.946223687,0.401937371,0,1.00E+06,0,1.00E+06,-1.144996187,NA,2.896128556,-0.244735095
57,0,1.00E+06,0.848982233,0.210518453,0.9228423,0.432496043,0,1.00E+06,0,1.00E+06,-1.147042869,NA,2.871793956,-0.232870372
58,0,1.00E+06,0.875131097,0.168414986,0.940122211,0.376619972,0,1.00E+06,0,1.00E+06,-1.087553592,NA,2.862253207,-0.237425817
59,0,1.00E+06,0.840687729,0.179019466,0.915796894,0.464531529,0,1.00E+06,0,1.00E+06,-0.941789014,NA,2.832557994,-0.229698336
60,0,1.00E+06,0.867896637,0.186600453,0.930184589,0.37980978,0,1.00E+06,0,1.00E+06,-1.10502001,NA,2.756823564,-0.202408904
