size,rm,qm,rl2,ql2,rvar,qvar,rl3,ql3,rtm,qtm,rl4,ql4,rfm,qfm
9,0,1.00E+06,2.011674699,-0.572760218,1.8921481,0.013344312,0,1.00E+06,0,1.00E+06,-1.454917684,NA,8.309494022,-0.870277443
10,0,1.00E+06,1.778994118,0.21368032,1.873900864,-0.132227412,0,1.00E+06,0,1.00E+06,-1.404992993,NA,7.015191248,-0.769981575
11,0,1.00E+06,1.495668139,0.340378577,1.655211689,-0.414675994,0,1.00E+06,0,1.00E+06,-1.249135883,NA,6.015062964,-0.728498089
12,0,1.00E+06,1.773021767,-0.264233169,1.720630659,0.116405203,0,1.00E+06,0,1.00E+06,-1.268474745,NA,5.424320079,-0.66260494
13,0,1.00E+06,1.540511443,0.040414554,1.524948297,0.284644378,0,1.00E+06,0,1.00E+06,-1.115966782,NA,5.009839848,-0.660882273
14,0,1.00E+06,1.483703693,-0.352048346,1.439516109,-0.037471301,0,1.00E+06,0,1.00E+06,-1.086626852,NA,4.501763189,-0.566814795
15,0,1.00E+06,1.574070737,0.152702777,1.443034571,-0.046518062,0,1.00E+06,0,1.00E+06,-1.006132926,NA,4.209768397,-0.56528114
16,0,1.00E+06,1.399056615,-0.062327201,1.335388636,0.190616176,0,1.00E+06,0,1.00E+06,-0.959795372,NA,3.96875484,-0.513236472
17,0,1.00E+06,1.315080066,0.133585919,1.259710051,0.139993908,0,1.00E+06,0,1.00E+06,-0.938775756,NA,3.734035391,-0.453190105
18,0,1.00E+06,1.383283557,0.144548652,1.25747495,0.524509831,0,1.00E+06,0,1.00E+06,-0.873873007,NA,3.555304881,-0.436854874
19,0,1.00E+06,1.379400143,-0.203090022,1.237638358,0.115640989,0,1.00E+06,0,1.00E+06,-0.834324357,NA,3.339533909,-0.422127157
20,0,1.00E+06,1.263495295,0.307999108,1.158881711,0.129406783,0,1.00E+06,0,1.00E+06,-0.791353749,NA,3.215902469,-0.398027081
21,0,1.00E+06,1.274295231,0.057254291,1.143260789,0.227524368,0,1.00E+06,0,1.00E+06,-0.763280349,NA,3.048013761,-0.365683382
22,0,1.00E+06,1.254140783,-0.072488179,1.134772276,0.545631031,0,1.00E+06,0,1.00E+06,-0.774540423,NA,2.93800854,-0.334504334
23,0,1.00E+06,1.140956857,0.047038685,1.061644012,0.172434715,0,1.00E+06,0,1.00E+06,-0.748364558,NA,2.823257523,-0.305237835
24,0,1.00E+06,1.120147717,-0.080337544,1.039789461,0.334601121,0,1.00E+06,0,1.00E+06,-0.671452289,NA,2.705223029,-0.27644907
